iter	Passed	Remaining
342	992	1901
343	995	1899
344	997	1894
345	1000	1890
346	1002	1887
347	1005	1882
348	1008	1880
349	1010	1876
350	1013	1874
351	1015	1870
352	1018	1867
353	1021	1864
354	1023	1860
355	1026	1856
356	1028	1852
357	1032	1851
358	1034	1847
359	1037	1844
360	1039	1840
361	1041	1835
362	1045	1834
363	1047	1830
364	1051	1828
365	1053	1824
366	1057	1823
367	1059	1820
368	1062	1817
369	1066	1816
370	1069	1813
371	1071	1808
372	1074	1805
373	1076	1801
374	1078	1797
375	1081	1794
376	1084	1791
377	1087	1788
378	1089	1784
379	1092	1782
380	1094	1778
381	1097	1775
382	1099	1771
383	1101	1767
384	1104	1764
385	1107	1761
386	1109	1757
387	1111	1753
388	1114	1749
389	1117	1747
390	1119	1743
391	1123	1741
392	1125	1737
393	1127	1734
394	1130	1731
395	1132	1727
396	1135	1724
397	1137	1720
398	1140	1717
399	1143	1714
400	1145	1710
401	1147	1707
402	1149	1703
403	1152	1700
404	1154	1696
405	1157	1692
406	1159	1689
407	1165	1690
408	1167	1686
409	1170	1683
410	1172	1680
411	1174	1676
412	1177	1673
413	1179	1669
414	1182	1667
415	1184	1663
416	1186	1659
417	1189	1656
418	1191	1652
419	1193	1648
420	1196	1645
421	1198	1641
422	1201	1639
423	1203	1635
424	1206	1632
425	1208	1628
426	1210	1624
427	1213	1621
428	1215	1618
429	1218	1615
430	1220	1611
431	1222	1607
432	1225	1604
433	1227	1600
434	1229	1597
435	1232	1594
436	1234	1589
437	1237	1587
438	1239	1583
439	1240	1579
440	1243	1576
441	1245	1572
442	1249	1571
443	1251	1567
444	1253	1563
445	1256	1561
446	1258	1557
447	1261	1553
448	1263	1550
449	1265	1546
450	1268	1544
451	1270	1540
452	1275	1539
453	1277	1536
454	1279	1533
455	1281	1529
456	1283	1525
457	1287	1523
458	1289	1519
459	1292	1516
460	1294	1513
461	1296	1509
462	1299	1506
463	1301	1503
464	1303	1499
465	1306	1496
466	1307	1492
467	1310	1489
468	1312	1486
469	1314	1482
470	1318	1480
471	1319	1476
472	1322	1473
473	1325	1470
474	1328	1467
475	1330	1464
476	1332	1460
477	1334	1457
478	1337	1454
479	1339	1451
480	1341	1447
481	1343	1444
482	1346	1441
483	1348	1438
484	1351	1435
485	1354	1432
486	1355	1428
487	1358	1425
488	1361	1422
489	1363	1419
490	1366	1416
491	1368	1412
492	1371	1410
493	1373	1406
494	1376	1404
495	1378	1401
496	1380	1397
497	1383	1394
498	1385	1391
499	1388	1388
500	1390	1385
501	1392	1381
502	1395	1378
503	1397	1375
504	1401	1373
505	1402	1369
506	1404	1366
507	1407	1363
508	1409	1359
509	1412	1356
510	1414	1353
511	1416	1349
512	1418	1346
513	1420	1343
514	1423	1340
515	1425	1337
516	1427	1333
517	1431	1331
518	1433	1328
519	1435	1325
520	1438	1322
521	1440	1319
522	1443	1316
523	1446	1314
524	1449	1311
525	1452	1308
526	1455	1305
527	1457	1302
528	1460	1300
529	1462	1296
530	1464	1293
531	1466	1290
532	1468	1286
533	1471	1284
534	1473	1280
535	1475	1277
536	1477	1274
537	1480	1270
538	1482	1267
539	1484	1264
540	1486	1261
541	1489	1258
542	1491	1255
543	1493	1252
544	1495	1248
545	1497	1245
546	1501	1243
547	1503	1240
548	1505	1236
549	1507	1233
550	1509	1230
551	1512	1227
552	1515	1224
553	1517	1221
554	1519	1218
555	1521	1215
556	1524	1212
557	1526	1209
558	1528	1205
559	1531	1203
560	1533	1199
561	1535	1196
562	1538	1194
563	1540	1190
564	1543	1188
565	1545	1184
566	1548	1182
567	1550	1179
568	1552	1176
569	1555	1173
570	1557	1170
571	1560	1167
572	1563	1164
573	1565	1161
574	1568	1158
575	1570	1155
576	1573	1153
577	1575	1150
578	1577	1146
579	1580	1144
580	1582	1141
581	1585	1138
582	1587	1135
583	1589	1131
584	1592	1129
585	1594	1126
586	1597	1124
587	1600	1121
588	1603	1119
589	1614	1121
590	1629	1127
591	1631	1124
592	1633	1121
593	1636	1118
594	1638	1115
595	1641	1112
596	1643	1109
597	1646	1106
598	1649	1104
599	1651	1101
600	1655	1099
601	1657	1095
602	1659	1092
603	1661	1089
604	1663	1086
605	1666	1083
606	1668	1080
607	1670	1077
608	1672	1073
609	1675	1071
610	1677	1068
611	1680	1065
612	1683	1062
613	1686	1059
614	1688	1056
615	1690	1053
616	1693	1051
617	1695	1048
618	1699	1046
619	1701	1042
620	1703	1039
621	1706	1036
622	1708	1033
623	1711	1031
624	1713	1028
625	1715	1025
626	1718	1022
627	1720	1019
628	1723	1016
629	1725	1013
630	1727	1010
631	1734	1010
632	1737	1007
633	1739	1004
634	1742	1001
635	1744	998
636	1746	995
637	1756	996
638	1758	993
639	1761	990
640	1763	987
641	1765	984
642	1768	981
643	1770	978
644	1773	975
645	1775	972
646	1777	969
647	1780	967
648	1782	964
649	1785	961
650	1787	958
651	1789	955
652	1792	952
653	1794	949
654	1796	946
655	1799	943
656	1801	940
657	1805	938
658	1807	935
659	1810	932
660	1812	929
661	1814	926
662	1816	923
663	1819	920
664	1821	917
665	1824	914
666	1825	911
667	1828	908
668	1830	905
669	1833	902
670	1835	900
671	1838	897
672	1842	895
673	1844	892
674	1847	889
675	1849	886
676	1850	883
677	1854	880
678	1856	877
679	1859	875
680	1862	872
681	1864	869
682	1867	866
683	1870	863
684	1873	861
685	1875	858
686	1878	855
687	1880	852
688	1883	850
689	1886	847
690	1888	844
691	1891	841
692	1893	838
693	1895	835
694	1904	835
695	1906	832
696	1908	829
697	1911	827
698	1914	824
699	1917	821
700	1921	819
701	1923	816
702	1925	813
703	1928	810
704	1931	808
705	1935	805
706	1937	803
707	1940	800
708	1943	797
709	1945	794
710	1947	791
711	1950	788
712	1952	786
713	1954	783
714	1958	780
715	1960	777
716	1962	774
717	1965	771
718	1967	768
719	1969	766
720	1972	763
721	1974	760
722	1977	757
723	1979	754
724	1981	751
725	1983	748
726	1986	745
727	1989	743
728	1991	740
729	1994	737
730	1996	734
731	1998	731
732	2001	728
733	2003	726
734	2006	723
735	2009	720
736	2010	717
737	2013	714
738	2016	712
739	2018	709
740	2021	706
741	2023	703
742	2025	700
743	2028	697
744	2031	695
745	2034	692
746	2036	689
747	2039	687
748	2041	684
749	2045	681
750	2047	678
751	2050	676
752	2052	673
753	2054	670
754	2057	667
755	2059	664
756	2062	662
757	2064	659
758	2067	656
759	2070	653
760	2071	650
761	2074	648
762	2077	645
763	2079	642
764	2081	639
765	2083	636
766	2087	633
767	2089	631
768	2091	628
769	2094	625
770	2096	622
771	2099	620
772	2101	617
773	2105	614
774	2107	611
775	2110	609
776	2113	606
777	2115	603
778	2118	600
779	2120	598
780	2123	595
781	2125	592
782	2129	590
783	2131	587
784	2133	584
785	2136	581
786	2139	579
787	2141	576
788	2143	573
789	2147	570
790	2149	567
791	2152	565
792	2155	562
793	2157	559
794	2159	556
795	2161	554
796	2164	551
797	2167	548
798	2168	545
799	2178	544
800	2181	541
801	2184	539
802	2190	537
803	2193	534
804	2196	532
805	2199	529
806	2202	526
807	2204	523
808	2207	521
809	2209	518
810	2212	515
811	2215	512
812	2217	510
813	2219	507
814	2222	504
815	2224	501
816	2226	498
817	2229	495
818	2231	493
819	2234	490
820	2236	487
821	2238	484
822	2241	482
823	2243	479
824	2246	476
825	2248	473
826	2250	470
827	2253	468
828	2255	465
829	2258	462
830	2260	459
831	2263	457
832	2266	454
833	2267	451
834	2270	448
835	2272	445
836	2275	443
837	2278	440
838	2280	437
839	2283	434
840	2285	432
841	2288	429
842	2290	426
843	2292	423
844	2295	421
845	2297	418
846	2300	415
847	2302	412
848	2304	409
849	2307	407
850	2309	404
851	2312	401
852	2314	398
853	2317	396
854	2320	393
855	2322	390
856	2325	388
857	2327	385
858	2330	382
859	2332	379
860	2334	376
861	2337	374
862	2339	371
863	2341	368
864	2344	365
865	2346	363
866	2349	360
867	2351	357
868	2353	354
869	2356	352
870	2358	349
871	2360	346
872	2363	343
873	2364	340
874	2367	338
875	2370	335
876	2372	332
877	2375	330
878	2377	327
879	2380	324
880	2382	321
881	2385	319
882	2387	316
883	2389	313
884	2392	310
885	2394	308
886	2397	305
887	2399	302
888	2401	299
889	2404	297
890	2406	294
891	2409	291
892	2411	288
893	2413	286
894	2416	283
895	2418	280
896	2420	277
897	2423	275
898	2425	272
899	2427	269
900	2429	266
901	2431	264
902	2434	261
903	2436	258
904	2439	256
905	2442	253
906	2444	250
907	2447	247
908	2449	245
909	2452	242
910	2454	239
911	2456	237
912	2459	234
913	2461	231
914	2463	228
915	2470	226
916	2472	223
917	2474	221
918	2477	218
919	2479	215
920	2481	212
921	2484	210
922	2486	207
923	2488	204
924	2491	202
925	2493	199
926	2496	196
927	2498	193
928	2501	191
929	2504	188
930	2506	185
931	2509	183
932	2511	180
933	2515	177
934	2517	174
935	2520	172
936	2522	169
937	2524	166
938	2527	164
939	2529	161
940	2551	159
941	2554	157
942	2565	155
943	2567	152
944	2570	149
945	2572	146
946	2575	144
947	2577	141
948	2580	138
949	2582	135
950	2584	133
951	2586	130
952	2589	127
953	2591	124
954	2594	122
955	2596	119
956	2599	116
957	2601	114
958	2604	111
959	2606	108
960	2608	105
961	2610	103
962	2613	100
963	2615	97
964	2617	94
965	2619	92
966	2621	89
967	2623	86
968	2626	84
969	2628	81
970	2630	78
971	2632	75
972	2635	73
973	2637	70
974	2639	67
975	2641	64
976	2644	62
977	2646	59
978	2649	56
979	2651	54
980	2654	51
981	2656	48
982	2659	45
983	2661	43
984	2663	40
985	2666	37
986	2668	35
987	2671	32
988	2673	29
989	2676	27
990	2678	24
991	2680	21
992	2683	18
993	2685	16
994	2687	13
995	2690	10
996	2692	8
997	2694	5
998	2696	2
999	2698	0
